,ID_MUESTREO,ID_PARAMETRO,ID_METODOLOGIA,ID_UNIDAD_MEDIDA,VALOR,ID_MUESTREOTEX
28,3226201409221457271,828,859,100,INVEMAR,3226201409221457271
28,3226201409221457271,127,859,100,2148,3226201409221457271
3,3226201409221537381,828,859,100,INVEMAR,3226201409221537381
3,3226201409221537381,127,859,100,2148,3226201409221537381
20,3226201409221547001,828,859,100,INVEMAR,3226201409221547001
20,3226201409221547001,127,859,100,2148,3226201409221547001
4,3226201409221614101,828,859,100,INVEMAR,3226201409221614101
4,3226201409221614101,127,859,100,2148,3226201409221614101
5,3226201409221622121,828,859,100,INVEMAR,3226201409221622121
5,3226201409221622121,127,859,100,2148,3226201409221622121
22,3226201409221632551,828,859,100,INVEMAR,3226201409221632551
22,3226201409221632551,127,859,100,2148,3226201409221632551
32,3226201409221636001,828,859,100,INVEMAR,3226201409221636001
32,3226201409221636001,127,859,100,2148,3226201409221636001
2,3226201409221642561,828,859,100,INVEMAR,3226201409221642561
2,3226201409221642561,127,859,100,2148,3226201409221642561
8,3226201409221645091,828,859,100,INVEMAR,3226201409221645091
8,3226201409221645091,127,859,100,2148,3226201409221645091
13,3226201409221649401,828,859,100,INVEMAR,3226201409221649401
13,3226201409221649401,127,859,100,2148,3226201409221649401
1,3226201409221653091,828,859,100,INVEMAR,3226201409221653091
1,3226201409221653091,127,859,100,2148,3226201409221653091
7,3226201409230745001,828,859,100,INVEMAR,3226201409230745001
7,3226201409230745001,127,859,100,2148,3226201409230745001
29,3226201409230748341,828,859,100,INVEMAR,3226201409230748341
29,3226201409230748341,127,859,100,2148,3226201409230748341
23,3226201409230752011,828,859,100,INVEMAR,3226201409230752011
23,3226201409230752011,127,859,100,2148,3226201409230752011
18,3226201409230802321,828,859,100,INVEMAR,3226201409230802321
18,3226201409230802321,127,859,100,2148,3226201409230802321
17,3226201409230808201,828,859,100,INVEMAR,3226201409230808201
17,3226201409230808201,127,859,100,2148,3226201409230808201
24,3226201409230824411,828,859,100,INVEMAR,3226201409230824411
24,3226201409230824411,127,859,100,2148,3226201409230824411
21,3226201409230828141,828,859,100,INVEMAR,3226201409230828141
21,3226201409230828141,127,859,100,2148,3226201409230828141
15,3226201409230848361,828,859,100,INVEMAR,3226201409230848361
15,3226201409230848361,127,859,100,2148,3226201409230848361
6,3226201409230854151,828,859,100,INVEMAR,3226201409230854151
6,3226201409230854151,127,859,100,2148,3226201409230854151
9,3226201409230857201,828,859,100,INVEMAR,3226201409230857201
9,3226201409230857201,127,859,100,2148,3226201409230857201
19,3226201409230926071,828,859,100,INVEMAR,3226201409230926071
19,3226201409230926071,127,859,100,2148,3226201409230926071
10,3226201409231006001,828,859,100,INVEMAR,3226201409231006001
10,3226201409231006001,127,859,100,2148,3226201409231006001
30,3226201409231008411,828,859,100,INVEMAR,3226201409231008411
30,3226201409231008411,127,859,100,2148,3226201409231008411
16,3226201409231011591,828,859,100,INVEMAR,3226201409231011591
16,3226201409231011591,127,859,100,2148,3226201409231011591
14,3226201409231029171,828,859,100,INVEMAR,3226201409231029171
14,3226201409231029171,127,859,100,2148,3226201409231029171
0,3226201409231032301,828,859,100,INVEMAR,3226201409231032301
0,3226201409231032301,127,859,100,2148,3226201409231032301
25,3226201409231050111,828,859,100,INVEMAR,3226201409231050111
25,3226201409231050111,127,859,100,2148,3226201409231050111
26,3226201409231054561,828,859,100,INVEMAR,3226201409231054561
26,3226201409231054561,127,859,100,2148,3226201409231054561
11,3226201409231101061,828,859,100,INVEMAR,3226201409231101061
11,3226201409231101061,127,859,100,2148,3226201409231101061
27,3226201409231114051,828,859,100,INVEMAR,3226201409231114051
27,3226201409231114051,127,859,100,2148,3226201409231114051
12,3226201409231119441,828,859,100,INVEMAR,3226201409231119441
12,3226201409231119441,127,859,100,2148,3226201409231119441
31,3226201410061328301,828,859,100,INVEMAR,3226201410061328301
31,3226201410061328301,127,859,100,2148,3226201410061328301
